	YER	PCR	ITR	GCR	MTR	XTR	SZR	YED	PCD	ITD	GCD	MTD	XTD	TOT	EEN	USD	QTAUF	QTEXPA	QTLAG	QTPR	QTPRO	QTBAUF	QTBPR	QTBBGL	QTBAGL	ECOSEN	INDSEN	KTPROL	KTAUF	KTAUSL	KTLAG	KTPRON	KTVPN	BAUVPN	EECOS	EINDSE	EBAUSE	EHANSE	EKONSE	IFOERW	IFOKL	IFOGL	PMI	HICP	HICP_FO	HICP_PF	HICP_UF	HICP_G	HICP_IG	HICP_GX	HICP_E	HICP_S	HICP_XA	HICP_XE	HICP_XF	HICP_XG	VPIG86	VPI_WOH8	TLIG86	TLIARG86	TLIANG86	GHPIG	GHPIOS	GHPIGG	GHPIGL	GHPIGK	GHPIVBG	GHPIKONG	GHPIINVG	GHPIINTG	OEL	EXPG	EXP6	EXP7	EXP8	IMPG	IMP6	IMP7	IMP8	EXP_US	EXP_EU	EXP_DE	IMP_US	IMP_EU	IMP_DE	ALQN	ALQNSA	ALOSM	ALOSW	OFST	STANDR	INDPROD	ATX	M1	M2	M3	DAX	DowJones	STI	SEKMRE	YIELD	DCR_HH	DCR_F	DCR_G	DEBT	DCR
2001Q2	52911.64048	30241 	11997 	9510 	24205 	25543 	-175 	1.02 	1.02 	1.01 	1.02 	1.01 	1.01 	1.00 	1.08 	0.87 	-23.0 	-27.2 	20.3 	-4.5 	11.9 	-35.9 	-28.5 	-33.9 	-27.5 	104.5333 	-10.3333 	8.6667 	-21.0000 	-28.3333 	15.0000 	5.0000 	-3.3333 	-24.3333 	105.9667 	-6.3333 	-9.0000 	-6.0000 	-1.6667 	94.3333 	92.0000 	93.1667 	42.9667 	93.3633 	93.2667 	90.3544 	90.2483 	95.4393 	94.7515 	100.3866 	84.1318 	88.8705 	93.0347 	93.1282 	94.3536 	92.7215 	141.0952 	166.9709 	169.3048 	182.0881 	168.3368 	112.7962 	115.0034 	109.2490 	107.7074 	106.6018 	128.1014 	123.0266 	96.9185 	106.7990 	22.5285 	18539.1062 	4865.7482 	8065.0153 	2157.8011 	22084.3274 	3287.9399 	9467.3906 	2794.4524 	990.0459 	12560.7032 	6746.6948 	1051.3358 	14650.7206 	7928.4881 	5.9071 	5.8667 	111262.7184 	111262.7184 	30788.0428 	647.2362 	100.6903 	1209.1167 	49.4409 	145.3036 	151.1705 	6048.1333 	10668.8933 	4.5960 	5.2593 	0.6633 	60910.7671 	128203.8501 	28717.5092 	228973.4296 	227408.2721 
2001Q3	52878.42061	30213 	11802 	9533 	24154 	25673 	-188 	1.02 	1.02 	1.01 	1.02 	1.00 	1.01 	1.00 	1.07 	0.89 	-26.7 	-28.6 	19.5 	-5.4 	3.3 	-62.7 	-31.6 	-41.5 	-30.6 	89.9000 	-16.6667 	-3.0000 	-32.3333 	-38.0000 	15.6667 	-2.3333 	-7.0000 	-29.0000 	98.9333 	-10.3333 	-12.0000 	-6.0000 	-8.0000 	91.0000 	90.4000 	90.7000 	46.9000 	93.3333 	92.8033 	91.0958 	91.0302 	95.3777 	94.5157 	100.5001 	82.6920 	89.7983 	93.3688 	93.6032 	95.0982 	93.1208 	141.8029 	168.1819 	170.4583 	183.3600 	169.4134 	112.9085 	114.8405 	109.4555 	107.8013 	106.9465 	128.8449 	123.4995 	96.8780 	105.9905 	21.2973 	18648.0944 	4847.2853 	8054.8917 	2171.5497 	21805.3572 	3261.4573 	9304.4585 	2782.8688 	1008.3523 	12411.1264 	6638.4301 	1063.0961 	14543.8649 	7885.4197 	6.1323 	6.2000 	115463.7492 	115463.7492 	28529.2415 	732.5966 	100.3315 	1188.3100 	50.3409 	147.4877 	153.3679 	5217.2667 	9933.9133 	4.2688 	5.1500 	0.8812 	61655.6319 	128619.4573 	28653.8062 	230445.1982 	228710.5451 
2001Q4	52992.663	30194 	11623 	9576 	24232 	26033 	-202 	1.02 	1.02 	1.01 	1.03 	1.00 	1.01 	1.01 	1.07 	0.90 	-41.2 	-43.0 	20.1 	-12.8 	-14.6 	-52.7 	-30.7 	-47.6 	-32.7 	83.3667 	-22.0000 	-12.0000 	-40.6667 	-43.0000 	19.0000 	-6.3333 	-14.3333 	-25.3333 	89.7333 	-17.6667 	-14.6667 	-9.3333 	-11.6667 	87.1667 	88.4333 	87.8333 	44.0667 	93.7467 	93.5900 	91.4549 	91.5768 	95.2402 	94.1325 	100.6582 	80.0603 	90.9515 	93.6411 	94.1204 	95.9032 	93.4025 	142.2597 	169.1458 	171.5064 	184.6356 	170.5211 	111.8662 	113.8537 	109.3534 	107.7494 	106.8270 	127.1222 	122.7131 	96.6924 	104.5308 	16.5261 	18712.6462 	4778.3546 	8082.8661 	2183.8354 	21612.0543 	3204.1103 	9190.0998 	2764.1280 	1003.6070 	12381.1854 	6626.5480 	1084.1047 	14429.9870 	7844.1804 	6.5145 	6.5667 	122833.2241 	122833.2241 	26018.6409 	855.5698 	99.7435 	1086.9500 	51.5364 	149.8015 	155.6615 	4866.9000 	9640.8167 	3.4425 	4.8207 	1.3781 	62367.6026 	129933.1380 	28381.4749 	232076.0789 	230531.0423 
2002Q1	53183.80576	30186 	11454 	9623 	24315 	26437 	-200 	1.03 	1.03 	1.01 	1.03 	1.00 	1.01 	1.01 	1.08 	0.88 	-39.3 	-40.6 	20.3 	-1.3 	4.6 	-49.4 	-33.8 	-48.7 	-35.8 	92.0000 	-18.0000 	-6.3333 	-36.0000 	-42.3333 	17.6667 	0.3333 	-6.3333 	-22.3333 	95.1667 	-13.0000 	-15.3333 	-16.0000 	-10.0000 	85.7667 	94.0667 	89.8333 	52.4333 	94.2067 	95.2100 	91.4648 	92.1948 	95.4370 	94.2325 	100.8798 	78.9923 	91.3282 	93.9150 	94.5153 	96.3347 	93.6226 	142.8123 	169.5845 	172.4164 	185.9157 	171.6516 	111.9076 	113.7120 	109.2474 	107.5243 	107.2619 	128.1215 	123.1645 	96.7163 	104.4939 	17.7119 	19128.5398 	4794.6594 	8168.9300 	2199.7561 	21567.7671 	3168.2356 	9086.7816 	2766.2258 	1015.9967 	12691.7182 	6737.6825 	1104.3295 	14398.7999 	7804.1168 	6.7633 	6.6333 	129957.4085 	129957.4085 	24530.9163 	938.9176 	99.1711 	1201.2033 	51.6112 	149.4512 	155.9289 	5123.0667 	10105.2667 	3.3625 	5.4623 	2.0999 	63732.5725 	130812.7413 	28672.0603 	235227.8771 	233447.2467 
2002Q2	53273.93681	30171 	11244 	9670 	24298 	26604 	-118 	1.03 	1.03 	1.02 	1.03 	1.00 	1.01 	1.01 	1.07 	0.92 	-37.6 	-34.8 	19.7 	-3.0 	16.0 	-50.4 	-13.2 	-31.0 	-24.2 	97.0667 	-15.0000 	-2.6667 	-38.0000 	-39.6667 	15.3333 	8.6667 	-4.3333 	-14.6667 	97.3000 	-10.0000 	-16.6667 	-18.0000 	-8.6667 	85.1667 	97.9667 	91.3333 	55.1333 	94.8767 	94.3633 	91.8338 	91.4988 	95.6889 	94.5376 	101.1039 	80.9375 	91.9516 	94.4913 	94.9829 	96.9700 	94.2726 	143.6517 	170.4814 	173.4545 	187.1007 	172.7198 	111.8736 	113.9345 	109.5564 	107.8666 	107.3635 	127.0964 	122.6258 	97.2263 	104.5020 	21.3919 	19312.6848 	4847.7589 	8282.6163 	2197.5700 	21572.7436 	3124.6132 	9024.4650 	2731.0709 	1027.5804 	12868.8727 	6841.0692 	1127.7040 	14392.4396 	7743.5733 	6.9076 	6.8333 	134504.3213 	134504.3213 	22885.2507 	1029.1594 	101.1382 	1304.0467 	52.2325 	149.1269 	155.1723 	4855.7333 	9912.7000 	3.4451 	5.6163 	2.1712 	64598.0397 	130421.5868 	28655.0496 	236105.2738 	234559.6012 
2002Q3	53219.17571	30208 	11008 	9721 	24334 	26642 	-26 	1.04 	1.03 	1.02 	1.04 	1.00 	1.01 	1.01 	1.06 	0.98 	-29.4 	-29.8 	17.7 	-0.9 	4.1 	-51.6 	-12.4 	-41.9 	-20.8 	91.4000 	-16.6667 	-0.6667 	-37.6667 	-42.6667 	15.0000 	2.6667 	-2.3333 	-12.6667 	94.4333 	-11.6667 	-22.0000 	-16.6667 	-10.0000 	84.8333 	94.5000 	89.5667 	51.1333 	94.9333 	93.9200 	92.8520 	91.3488 	95.8471 	94.6733 	101.2845 	80.6260 	92.2579 	94.8366 	95.1024 	97.3414 	94.5142 	144.2004 	170.9850 	174.3925 	188.2364 	173.6932 	112.2804 	114.2361 	109.5311 	107.7546 	107.5336 	128.2619 	123.1793 	97.0967 	104.7759 	22.7670 	19478.5191 	4930.9883 	8305.5407 	2202.3384 	21631.8937 	3134.8362 	9014.6247 	2737.5232 	1014.3209 	12950.8396 	6915.2226 	1152.4800 	14491.6910 	7756.6701 	6.9973 	7.0000 	136810.5015 	136810.5015 	22431.1864 	1064.6759 	98.1755 	1140.7200 	52.8891 	148.8846 	155.6190 	3639.8000 	8487.5933 	3.3574 	4.8737 	1.5163 	65517.1371 	129182.9556 	28674.9192 	236020.4658 	234361.7450 
2002Q4	53303.66744	30284 	10818 	9758 	24577 	26735 	286 	1.05 	1.04 	1.02 	1.04 	1.00 	1.01 	1.01 	1.06 	1.00 	-31.1 	-31.9 	14.9 	-2.5 	-3.1 	-50.5 	-7.5 	-40.7 	-20.9 	96.9333 	-13.3333 	1.0000 	-35.0000 	-40.3333 	14.0000 	9.6667 	-1.6667 	-9.3333 	92.7333 	-10.0000 	-22.6667 	-15.0000 	-14.0000 	84.7667 	90.6333 	87.6667 	50.7667 	95.3167 	94.9333 	93.2441 	91.4715 	96.2424 	95.0174 	101.3669 	81.2109 	92.6954 	95.0914 	95.1362 	97.5619 	94.6144 	144.7575 	172.0907 	175.3075 	189.2886 	174.6238 	112.4722 	114.4704 	109.6977 	107.8195 	108.1855 	128.9414 	123.8106 	97.0967 	104.6303 	22.7175 	19594.6232 	4941.7028 	8349.6797 	2199.5772 	21795.7554 	3168.4630 	9110.0296 	2706.4353 	982.7596 	12940.3415 	6892.2125 	1178.7520 	14645.4168 	7810.1889 	6.8908 	6.9667 	136166.2550 	136166.2550 	23321.6341 	1011.2096 	98.6745 	1091.3933 	54.7083 	149.5301 	156.1091 	3105.8333 	8400.1667 	3.1092 	4.5800 	1.4708 	66417.1258 	128252.7089 	28763.3867 	235961.7946 	234361.1063 
2003Q1	53501.62656	30383 	11787 	9784 	24933 	26817 	-336 	1.05 	1.04 	1.02 	1.05 	0.99 	1.01 	1.01 	1.04 	1.07 	-35.3 	-35.4 	13.8 	-1.1 	7.4 	-46.4 	-9.2 	-35.2 	-14.1 	93.6667 	-12.0000 	4.3333 	-29.3333 	-37.6667 	11.3333 	5.0000 	-1.0000 	-6.0000 	91.0667 	-11.0000 	-20.0000 	-15.3333 	-19.3333 	86.1667 	91.1667 	88.6333 	49.6667 	95.8667 	96.2667 	93.6527 	91.8316 	96.6538 	95.5483 	101.3689 	83.1751 	93.2178 	95.4414 	95.4366 	97.8055 	94.7698 	145.2773 	172.6615 	176.2763 	190.2777 	175.5334 	113.8961 	115.9270 	109.7598 	107.7707 	108.5958 	131.2364 	125.0515 	97.1777 	107.2049 	26.3225 	19646.4882 	4989.9271 	8330.1626 	2207.3991 	22273.0292 	3216.9353 	9297.2223 	2750.9775 	981.5416 	12900.4832 	6867.1993 	1195.8171 	14790.1379 	7962.6793 	6.8447 	6.7333 	136891.1555 	136891.1555 	22622.4416 	1053.8017 	101.9532 	1154.8333 	57.0532 	151.1910 	157.5302 	2674.4667 	8122.8333 	2.6847 	4.1187 	1.4340 	67248.5591 	128138.9428 	28364.5766 	236120.9726 	234485.5319 
2003Q2	53598.79462	30516 	11706 	9807 	25209 	26970 	-192 	1.05 	1.05 	1.03 	1.05 	0.99 	1.00 	1.02 	1.03 	1.14 	-28.7 	-28.3 	14.0 	-1.8 	10.7 	-35.7 	-9.9 	-28.6 	-11.4 	90.4667 	-12.6667 	1.3333 	-32.6667 	-40.6667 	9.6667 	4.3333 	-4.6667 	-1.6667 	91.4667 	-12.0000 	-20.6667 	-12.3333 	-19.3333 	87.0667 	92.2667 	89.6667 	48.9000 	95.8967 	96.0333 	93.8602 	92.3159 	96.3384 	95.6944 	101.5218 	80.4576 	93.7370 	95.4879 	95.7488 	98.1039 	95.0563 	145.4155 	173.1101 	177.2114 	191.3038 	176.4224 	113.7573 	115.4725 	109.7622 	107.8201 	108.5554 	130.9498 	124.9562 	97.4207 	107.3182 	22.6412 	19293.1209 	4969.3691 	8177.5251 	2218.7012 	22336.5270 	3215.5747 	9345.7076 	2758.1718 	966.5233 	12805.4171 	6875.3642 	1203.2485 	14870.4153 	8110.3557 	7.0187 	6.9667 	139588.1866 	139588.1866 	21776.2918 	1122.5067 	99.9706 	1263.2733 	59.2418 	154.5759 	161.5406 	2964.3000 	8684.5267 	2.3646 	3.8633 	1.4988 	67227.4494 	127401.4110 	28061.4008 	235845.6468 	234035.9329 
2003Q3	53704.50625	30673 	11680 	9831 	25550 	27408 	-337 	1.05 	1.05 	1.03 	1.06 	0.99 	1.00 	1.02 	1.03 	1.12 	-33.2 	-42.0 	15.2 	-11.3 	2.2 	-34.6 	-2.1 	-21.4 	-12.2 	97.0667 	-12.0000 	4.3333 	-32.6667 	-47.3333 	9.6667 	6.3333 	-5.6667 	-0.3333 	94.3000 	-11.3333 	-21.3333 	-10.0000 	-17.3333 	88.2667 	97.0667 	92.5333 	53.9667 	96.0100 	95.7267 	94.4632 	92.8681 	96.5588 	95.8998 	101.6503 	80.7246 	94.2582 	95.8814 	96.1069 	98.4308 	95.4568 	146.0478 	173.4138 	178.4137 	192.3088 	177.3468 	114.4769 	116.0197 	109.5934 	107.5217 	108.8564 	132.4766 	126.2727 	96.8537 	107.8989 	24.1975 	19744.7998 	4970.0020 	8330.2470 	2232.7400 	22530.8002 	3214.5864 	9547.8078 	2773.8742 	1032.9150 	13100.6678 	7026.9440 	1208.1031 	15037.4395 	8324.2401 	7.1504 	7.1667 	140835.7682 	140835.7682 	21425.6052 	1157.7449 	101.5744 	1343.8933 	62.0865 	157.0371 	164.7262 	3429.9667 	9310.5700 	2.1393 	4.1857 	2.0464 	68215.7021 	127845.9990 	29078.4187 	238274.1155 	236208.8505 
2003Q4	53958.49954	30840 	11682 	9861 	26019 	28028 	-432 	1.06 	1.05 	1.03 	1.06 	0.99 	1.00 	1.02 	1.02 	1.19 	-29.0 	-36.4 	8.2 	-2.1 	2.6 	-39.3 	-0.1 	-22.9 	-11.4 	103.4000 	-7.3333 	13.3333 	-27.3333 	-39.6667 	8.6667 	13.6667 	1.0000 	6.3333 	98.0667 	-7.3333 	-19.6667 	-8.0000 	-16.0000 	91.0667 	101.8333 	96.3000 	60.5333 	96.4767 	97.1667 	95.1617 	93.4783 	97.0629 	96.2458 	101.7815 	80.5911 	94.7738 	96.2467 	96.4806 	98.7281 	95.8341 	146.5074 	172.9092 	179.2651 	193.2923 	178.2242 	115.8562 	117.4768 	109.6240 	107.3978 	109.3763 	134.0330 	127.2421 	96.7079 	110.1609 	24.8339 	20206.2003 	5040.7840 	8513.3184 	2257.1740 	23016.2489 	3266.6860 	9902.9611 	2821.2843 	1127.5452 	13377.5286 	7232.5889 	1206.5620 	15300.9685 	8645.2768 	7.1276 	7.2333 	141481.2868 	141481.2868 	21151.2172 	1160.5444 	102.2752 	1453.5933 	64.3662 	159.6824 	167.9784 	3696.1333 	9856.4000 	2.1495 	4.3867 	2.2372 	69020.6186 	127783.4741 	29613.1646 	239316.1763 	237535.2822 
2004Q1	54332.15426	31027 	11681 	9887 	26555 	28811 	-519 	1.06 	1.06 	1.03 	1.07 	0.99 	1.01 	1.01 	1.01 	1.25 	-26.8 	-34.2 	11.6 	9.0 	10.9 	-40.3 	6.7 	-26.5 	-12.5 	99.7000 	-10.6667 	10.6667 	-28.3333 	-39.3333 	10.3333 	7.0000 	3.3333 	6.6667 	97.9667 	-7.0000 	-18.6667 	-8.6667 	-14.3333 	91.7333 	100.3667 	95.9667 	62.4333 	97.2033 	98.2333 	95.9624 	93.3722 	97.5411 	97.0337 	101.9230 	82.4536 	95.2811 	96.7778 	96.8569 	99.1630 	96.2504 	147.2721 	174.0240 	180.0741 	194.2604 	179.0775 	117.4309 	119.3742 	109.6578 	107.3126 	109.7333 	134.0310 	127.2999 	96.7079 	115.1910 	27.1175 	21015.8599 	5158.3019 	8679.0603 	2274.6594 	23773.2820 	3403.6249 	10292.6442 	2850.4912 	1233.8343 	13814.1489 	7562.1088 	1206.9433 	15629.6114 	9051.6047 	7.0884 	7.0000 	140265.5421 	140265.5421 	23108.2035 	1089.2527 	106.0400 	1756.7800 	66.0471 	161.2577 	168.6970 	4021.0667 	10488.4267 	2.0635 	4.2020 	2.1385 	69877.3306 	128888.5549 	29674.4043 	241425.6881 	239481.7324 
2004Q2	54732.76593	31161 	11708 	9930 	27240 	29719 	-545 	1.07 	1.06 	1.04 	1.07 	1.00 	1.01 	1.01 	1.02 	1.20 	-26.9 	-29.8 	10.9 	4.5 	17.2 	-40.1 	3.6 	-27.9 	-14.8 	103.2667 	-8.6667 	13.0000 	-26.6667 	-36.6667 	7.0000 	8.0000 	4.3333 	7.0000 	99.5333 	-5.0000 	-16.0000 	-7.6667 	-14.3333 	93.0667 	97.4000 	95.2333 	62.4000 	97.7833 	98.2700 	96.3677 	93.7596 	98.1034 	96.4627 	101.8231 	86.2867 	95.8428 	97.3699 	97.2251 	99.5509 	96.6204 	148.2971 	175.2067 	181.0050 	195.2024 	179.9746 	120.2326 	122.3375 	109.9234 	107.7567 	109.4489 	134.9744 	127.9119 	96.8699 	120.3150 	30.3333 	22310.8484 	5351.4478 	8931.9594 	2305.8386 	24801.4424 	3563.8220 	10785.9486 	2903.8937 	1320.3432 	14565.1550 	7913.7729 	1218.7049 	15949.2088 	9491.3499 	7.1368 	7.0667 	140381.2197 	140381.2197 	24335.9543 	1046.0683 	107.0474 	1908.8333 	67.8043 	163.1775 	170.7699 	3963.4333 	10289.0433 	2.0821 	4.3340 	2.2519 	72239.7540 	129979.7972 	29633.7563 	243444.3069 	242122.1284 
2004Q3	55125.95035	31261 	11765 	9985 	27970 	30366 	-281 	1.07 	1.07 	1.04 	1.07 	1.01 	1.02 	1.01 	1.02 	1.22 	-18.3 	-24.6 	7.2 	3.9 	6.2 	-40.4 	-3.0 	-24.1 	-12.1 	105.3333 	-7.0000 	17.0000 	-23.3333 	-32.6667 	6.0000 	8.6667 	5.6667 	-1.3333 	100.4667 	-3.6667 	-15.3333 	-8.3333 	-13.6667 	93.4333 	96.9000 	95.1667 	59.5333 	97.9567 	97.4967 	96.5983 	93.7894 	98.4106 	96.6150 	101.5190 	87.9967 	96.4233 	97.8487 	97.6747 	99.9616 	97.0205 	149.2349 	177.7067 	181.9586 	196.1945 	180.8929 	121.4276 	123.4938 	110.0352 	107.9523 	109.0752 	135.7985 	128.2361 	97.0319 	122.5241 	34.5599 	22917.2826 	5505.6824 	9122.6173 	2334.1983 	25639.4841 	3688.0750 	11217.8666 	2928.4069 	1336.0019 	14910.9744 	8058.4834 	1242.6870 	16285.4538 	9762.8913 	7.0597 	7.1333 	139858.0231 	139858.0231 	24225.3330 	1045.2477 	110.1156 	2009.9633 	69.7970 	166.0869 	173.7015 	3851.0333 	10129.8533 	2.1163 	4.2352 	2.1189 	73958.7587 	132054.2913 	30011.6324 	244221.2087 	244738.8397 
2004Q4	55422.41943	31351 	11795 	10023 	28465 	30712 	7 	1.08 	1.07 	1.05 	1.08 	1.01 	1.02 	1.01 	1.01 	1.30 	-20.6 	-29.4 	9.2 	8.6 	2.0 	-34.6 	0.8 	-22.4 	-9.2 	104.7667 	-6.6667 	14.6667 	-22.0000 	-33.0000 	6.6667 	10.0000 	10.0000 	1.6667 	100.8667 	-3.3333 	-13.6667 	-8.0000 	-13.0000 	94.2667 	96.6333 	95.4333 	57.6000 	98.8000 	97.8533 	96.4171 	93.8783 	98.8617 	97.3477 	100.9278 	90.7460 	97.0401 	98.5969 	98.1422 	100.4474 	97.4260 	150.4680 	181.9461 	182.9143 	197.2747 	181.8623 	122.2868 	124.4127 	109.7599 	108.0615 	107.6856 	135.9010 	128.0678 	97.1372 	124.7146 	36.1011 	23084.8584 	5653.4095 	9224.1277 	2367.7088 	26169.1086 	3755.0878 	11630.0120 	2993.1163 	1301.8262 	15142.8751 	8159.1049 	1268.9501 	16707.1707 	9927.2604 	7.0957 	7.1667 	140471.3462 	140471.3462 	23210.9772 	1060.5758 	110.6536 	2232.5833 	71.3420 	168.8546 	177.2461 	4097.3000 	10362.2467 	2.1636 	3.8376 	1.6740 	75503.5877 	134166.9908 	30614.1234 	248065.2834 	247795.1702 
2005Q1	55669.20607	31480 	11802 	10067 	28699 	31082 	-62 	1.08 	1.08 	1.06 	1.09 	1.02 	1.03 	1.01 	1.02 	1.31 	-27.7 	-31.7 	9.1 	10.6 	10.2 	-32.6 	0.0 	-17.7 	-6.9 	99.5667 	-9.0000 	8.3333 	-28.0000 	-37.0000 	8.6667 	8.6667 	2.3333 	1.0000 	98.9000 	-6.6667 	-8.3333 	-9.0000 	-13.3333 	94.0000 	96.2000 	95.1000 	55.7000 	99.5267 	100.7767 	96.1876 	94.5577 	99.2116 	97.2198 	100.7223 	89.6495 	97.5498 	98.9405 	98.6824 	100.8128 	97.6073 	151.4813 	182.6854 	183.9496 	198.3762 	182.8628 	122.6284 	124.4696 	109.4233 	107.6751 	107.5604 	138.1664 	129.0659 	97.2810 	124.5131 	38.8736 	22818.3723 	5745.1922 	9433.8966 	2407.2519 	26175.0527 	3742.6528 	11984.7428 	2993.2775 	1298.9394 	14914.2768 	8172.8427 	1292.6279 	17083.0969 	9906.0604 	7.1936 	7.1667 	141966.0857 	141966.0857 	25446.5649 	1001.9698 	110.5689 	2578.1167 	73.8921 	173.0209 	181.7447 	4315.7667 	10648.4733 	2.1405 	3.5992 	1.4587 	76964.9078 	135318.4956 	30424.6334 	250404.1596 	251497.6952 
2005Q2	56075.45804	31612 	11840 	10127 	29013 	31660 	-150 	1.08 	1.08 	1.06 	1.09 	1.03 	1.04 	1.01 	1.02 	1.26 	-32.0 	-35.9 	14.1 	-1.3 	18.4 	-32.3 	0.5 	-21.9 	-10.4 	97.7667 	-10.6667 	5.0000 	-29.3333 	-39.6667 	11.3333 	9.3333 	-1.6667 	-2.0000 	96.1667 	-10.0000 	-9.0000 	-8.6667 	-14.3333 	92.5667 	93.2667 	92.9333 	53.1667 	99.8467 	100.0867 	96.1587 	94.3421 	99.6244 	97.4272 	100.5872 	93.9212 	97.9074 	99.2681 	99.1234 	101.0067 	97.7212 	152.3702 	182.3261 	185.0135 	199.6010 	183.9256 	122.5158 	124.3264 	109.1239 	107.0453 	108.1611 	141.7290 	130.9077 	97.0727 	124.0661 	43.0392 	23403.2242 	5879.2250 	9795.7738 	2445.8772 	26658.1892 	3701.8302 	12442.1478 	3048.4003 	1303.2544 	15267.0440 	8351.0138 	1321.6116 	17561.5028 	10051.3267 	7.3050 	7.2333 	144454.4840 	144454.4840 	26211.2203 	997.0460 	112.7306 	2742.0033 	76.3959 	176.4152 	185.9351 	4397.5000 	10400.2233 	2.1246 	3.3683 	1.2437 	78161.6315 	135525.7720 	30354.1305 	253044.9745 	253262.8251 
2005Q3	56582.73 	31759 	11904 	10170 	29443 	32297 	-105 	1.09 	1.08 	1.06 	1.10 	1.04 	1.05 	1.00 	1.03 	1.22 	-29.0 	-35.6 	11.8 	-7.1 	6.5 	-35.5 	-5.0 	-23.5 	-12.5 	97.0333 	-10.0000 	8.0000 	-29.3333 	-40.0000 	8.6667 	8.6667 	-0.3333 	-2.6667 	97.9667 	-7.3333 	-7.0000 	-7.6667 	-15.3333 	94.5667 	96.3333 	95.4667 	55.8000 	100.0800 	99.1433 	96.0657 	94.1276 	99.9634 	98.0603 	100.6259 	97.4869 	98.2425 	99.5559 	99.4702 	101.1885 	97.8993 	152.8875 	182.3942 	186.1584 	200.8818 	185.0465 	123.3099 	125.4118 	109.0723 	107.0497 	107.9623 	144.1362 	132.0013 	97.0727 	125.3115 	50.7808 	24143.7919 	6051.5480 	10133.2443 	2477.6486 	27420.0623 	3754.2002 	12906.6917 	3078.3664 	1322.3624 	15619.7745 	8502.5146 	1345.5019 	18073.6759 	10312.3285 	7.3980 	7.3667 	145753.9544 	145753.9544 	26537.3262 	995.5318 	113.2562 	3225.0367 	78.4006 	179.0551 	188.8144 	4853.0000 	10544.0633 	2.1303 	3.2153 	1.0850 	79447.6143 	135745.7242 	30103.5156 	256279.3177 	255207.8704 
2005Q4	57010.18 	31916 	12001 	10205 	29817 	32846 	-141 	1.09 	1.09 	1.07 	1.11 	1.05 	1.05 	1.00 	1.03 	1.19 	-26.0 	-33.6 	10.3 	2.4 	2.9 	-23.2 	6.7 	-16.9 	-4.0 	100.6667 	-8.6667 	14.6667 	-26.3333 	-36.3333 	8.0000 	8.0000 	2.0000 	4.6667 	100.6000 	-5.6667 	-3.3333 	-4.6667 	-12.3333 	97.8000 	99.5333 	98.6333 	57.2333 	100.5467 	99.9933 	96.3928 	94.4808 	99.6448 	97.5110 	100.6071 	94.8254 	98.6443 	99.5021 	99.8322 	101.3899 	98.1207 	153.1906 	183.8405 	187.3328 	202.4178 	186.2039 	124.2399 	126.3214 	109.1698 	107.1611 	107.7842 	145.4089 	132.7613 	97.3828 	127.7644 	48.3133 	24947.3572 	6251.3217 	10397.5687 	2512.3355 	28288.2197 	3934.0024 	13188.0062 	3104.8167 	1405.5733 	16006.8446 	8682.5132 	1362.2333 	18602.0442 	10655.9838 	7.2977 	7.3667 	144706.6073 	144706.6073 	26456.3607 	965.2413 	116.4858 	3421.6833 	79.9056 	183.0327 	192.7651 	5130.3000 	10615.7833 	2.3438 	3.3622 	1.0185 	80569.0546 	137635.3807 	29809.7064 	260933.5856 	258950.8465 
2006Q1	57423.06 	32053 	12144 	10232 	30490 	33713 	-229 	1.10 	1.09 	1.07 	1.11 	1.06 	1.06 	1.00 	1.03 	1.20 	-21.7 	-27.2 	6.8 	10.9 	17.0 	-28.7 	6.8 	-14.5 	-0.1 	108.1333 	-5.0000 	13.3333 	-24.0000 	-31.6667 	6.0000 	15.0000 	7.0000 	8.6667 	103.0333 	-2.3333 	-2.6667 	-3.3333 	-10.6667 	102.5000 	104.7333 	103.6000 	55.5667 	100.9700 	100.8467 	97.0630 	94.4680 	99.5170 	97.6065 	100.5867 	94.8223 	99.0692 	99.6788 	100.1196 	101.6128 	98.3772 	153.4848 	186.3313 	188.9529 	203.8879 	187.3891 	124.4107 	126.8670 	109.0981 	106.9488 	107.8048 	144.2586 	132.0799 	97.3265 	129.7648 	51.7204 	25707.3978 	6460.6992 	10562.5113 	2541.1097 	28957.0378 	4088.1930 	13245.9338 	3140.1878 	1455.5983 	16346.1998 	8925.8607 	1379.2381 	18965.2752 	10953.4570 	7.1610 	7.2000 	143107.5864 	143107.5864 	28593.5563 	899.6123 	117.1163 	3972.2567 	81.9242 	186.3940 	197.0342 	5706.0667 	10996.0400 	2.6115 	3.4740 	0.8624 	81400.7659 	141159.6015 	30249.4225 	265897.2408 	264442.4826 
